"SRS ID","Body Site","Assembly file location","Assembly MD5","Assembly File Size","Reads file location","Reads MD5","Reads File Size"
"SRS019329","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS019329.scaffolds.fa.bz2","54985c776d6c0a66f0975f42fcccb306","6340555","/data/Illumina/buccal_mucosa/SRS019329.tar.bz2","ab9ba71cd9f0564f2044a83e946f2f44","566633476"
"SRS020336","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS020336.scaffolds.fa.bz2","7fbc432ef86e7538c3352fa884ce86a4","553810","/data/Illumina/buccal_mucosa/SRS020336.tar.bz2","23753ef8187bca3681ec961d5b50c0aa","163988459"
"SRS021986","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS021986.scaffolds.fa.bz2","dc4f500913d481d8415f4b5cde336d7a","2917788","/data/Illumina/buccal_mucosa/SRS021986.tar.bz2","8e051c36b27cec20ee10da5d7b8a07ae","896937100"
"SRS022721","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS022721.scaffolds.fa.bz2","0f6d92839c432f4dbd83c28d598b33c9","2631420","/data/Illumina/buccal_mucosa/SRS022721.tar.bz2","33ce775c1579a4b59aaadc1775e90444","276573920"
"SRS023354","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS023354.scaffolds.fa.bz2","c79f6a31d7937911078a04beece852c6","1372308","/data/Illumina/buccal_mucosa/SRS023354.tar.bz2","2dcaef6fec0e0c04941ffdd44828b969","260051081"
"SRS019039","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS019039.scaffolds.fa.bz2","6a435c792832d97af6175c6475082496","1521415","/data/Illumina/anterior_nares/SRS019039.tar.bz2","b1c5475b63bc694a116e6da88105385c","113283010"
"SRS019215","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS019215.scaffolds.fa.bz2","d2e2220376ad9fd3a3ba7506c1a74c1c","12361","/data/Illumina/anterior_nares/SRS019215.tar.bz2","55de248bbfa8c1bbf4447d007330f7ff","10626323"
"SRS019597","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS019597.scaffolds.fa.bz2","63fcf21ed03f27285dea60f4ef300322","763697","/data/Illumina/anterior_nares/SRS019597.tar.bz2","60ff893c47fc93a2aff63a4b3d4f0d41","54586552"
"SRS022129","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS022129.scaffolds.fa.bz2","80c5a8f71d0bc97eec65a9e8450be879","557049","/data/Illumina/anterior_nares/SRS022129.tar.bz2","99fdcc156f7e647f943475adeb7aba66","79658511"
"SRS023847","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS023847.scaffolds.fa.bz2","745355fd8768462edcaed62fab9bacf7","2703164","/data/Illumina/anterior_nares/SRS023847.tar.bz2","2f31a00251ad05574b560ead5d7ac951","484888188"
"SRS024424","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS024424.scaffolds.fa.bz2","7d83256c62525a75d2495bdd9d5c8022","3063757","/data/Illumina/anterior_nares/SRS024424.tar.bz2","552427d1ac2cdbe5202a8b5547f5b4f1","310843441"
"SRS062713","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS062713.scaffolds.fa.bz2","67ebee9a76569987270c478644ee008c","1613212","/data/Illumina/anterior_nares/SRS062713.tar.bz2","b20ab15ba8a2cd911eaa858e1d460d9e","105015419"
